year,handguns_per_100k
1950,122
1951,177
1952,245
1953,217
1954,198
1955,221
1956,276
1957,276
1958,267
1959,330
1960,302
1961,275
1962,289
1963,324
1964,350
1965,476
1966,569
1967,788
1968,"1,186"
1969,756
1970,753
1971,793
1972,990
1973,987
1974,948
1975,"1,004"
1976,908
1977,876
1978,857
1979,966
1980,"1,076"
1981,"1,129"
1982,"1,169"
1983,949
1984,807
1985,708
1986,639
1987,771
1988,959
1989,953
1990,848
1991,766
1992,"1,142"
1993,"1,427"
1994,"1,266"
1995,826
1996,676
1997,650
1998,642
1999,558
2000,594
2001,559
2002,617
2003,589
2004,622
2005,645
2006,804
2007,969
2008,"1,127"
2009,"1,471"
2010,"1,456"
2011,"1,525"
2012,"2,113"
2013,"2,554"
2014,"2,011"
2015,"2,100"
2016,"2,801"
2017,"2,273"
2018,"2,180"
2019,"1,849"
2020,"3,075"
2021,"3,876"
2022,"3,320"
