"fips","YearData","govid_14","Name","STATEAB","demshare_fg","demshare_oc","demshare_gh","mayor_party","runnerup_party","mayor_votes","runnerup_votes","mayor_name","runnerup_name","winner_pid","runner1_pid","winnervotes","runner1_votes","winner","runner1","population_est","elec_source","winner_cf_party","runnerup_cf_party","winner_pid_check","runnerup_pid_check","winner_pid_gh","runnerup_pid_gh","elecdate","month","gh_oc","gh_fg","oc_fg","mayor_party_final","pass_mayor","mayor_votes_final","runnerup_party_final","pass_runnerup","runnerup_votes_final","demshare","fail","elec_index","STATE","ID","FIPS_PLACE_ID","JURIS","fog","initiative","partisan","referendum","termlength","termlimits","STATEFIP","mayor_name_final","runnerup_name_final"
107000,1961,12037003,"BIRMINGHAM CITY","AL",NA,NA,NA,"D","D",21133,17364,"Arthur J. Hayes","Tom Kim",NA,NA,NA,NA,NA,NA,336889.3,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,"D",-1,21133,"D",-1,17364,NA,NA,662,"AL",183884,7000,"City of Birmingham",1,1,0,0,4,0,1,"arthur hayes","tom kim"
107000,1963,12037003,"BIRMINGHAM CITY","AL",NA,NA,NA,"D","D",29623,21540,"Albert Boutwell","Eugene Bull Connor","D","D",29630,21648,"Albert Boutwell","Eugene 'Bull' Connor",328893.9,"<a href=""http://news.google.com/newspapers?id=WxEdAAAAIBAJ&amp;sjid=8poEAAAAIBAJ&amp;pg=5236,177035&amp;dq=boutwell+mayor&amp;hl=en"" target=""_blank"" >[Link]</a>",NA,NA,NA,NA,NA,NA,1963-04-02,4,NA,NA,NA,"D",1,29623,"D",1,21540,NA,NA,663,"AL",183884,7000,"City of Birmingham",1,1,0,0,4,0,1,"albert boutwell","eugene bull connor"
107000,1967,12037003,"BIRMINGHAM CITY","AL",NA,-0.03118582,NA,"R","",27709,25338,"George Seibels, Jr.","George Young","R","D",28709,25338,"George Seibels, Jr.","George Young",312903.1,"<a href=""http://news.google.com/newspapers?id=x04aAAAAIBAJ&amp;sjid=hCQEAAAAIBAJ&amp;pg=7050,2478996&amp;dq=boutwell+mayor&amp;hl=en"" target=""_blank"" >[Link]</a>",NA,NA,NA,NA,NA,NA,1967-10-31,10,NA,NA,NA,"R",1,27709,"D",-1,25338,0.477651894,NA,664,"AL",183884,7000,"City of Birmingham",1,1,0,0,4,0,1,"george seibels","george young"
107000,1971,12037003,"BIRMINGHAM CITY","AL",-0.1334505,NA,NA,"R","D",37124,21482,"George Seibels, Jr.","George Young",NA,NA,NA,NA,NA,NA,299604,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,"R",-1,37124,"D",-1,21482,0.3665495,NA,665,"AL",183884,7000,"City of Birmingham",1,1,0,0,4,0,1,"george seibels","george young"
107000,1975,12037003,"BIRMINGHAM CITY","AL",0.009416983,NA,NA,"D","R",31700,30528,"David Vann","George Seibels, Jr.",NA,NA,NA,NA,NA,NA,285979.5,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,"D",-1,31700,"R",-1,30528,0.509416983,NA,666,"AL",183884,7000,"City of Birmingham",1,1,0,0,4,0,1,"david vann","george seibels"
107000,1979,12037003,"BIRMINGHAM CITY","AL",0.011310978,NA,NA,"D","R",44798,42816,"Richard Arrington","Frank Parsons","NP","NP",44859,42814,"Richard Arrington, Jr.","Frank Parsons",283385.5,"<a href=""http://www.bhamwiki.com/w/1979_Birmingham_mayoral_election"" target=""_blank"" >[Link]</a>","D",NA,NA,NA,NA,NA,1979-10-30,10,NA,NA,NA,"D",1,44798,"R",-1,42816,0.511310978,NA,667,"AL",183884,7000,"City of Birmingham",1,1,0,0,4,0,1,"richard arrington","frank parsons"
107000,1983,12037003,"BIRMINGHAM CITY","AL",0.101644379,NA,NA,"D","R",57004,37743,"Richard Arrington","John Katapodis","NP","NP",56967,37608,"Richard Arrington, Jr.(I)","John Katopodis",283239,"<a href=""http://www.bhamwiki.com/w/1983_Birmingham_mayoral_election"" target=""_blank"" >[Link]</a>","D",NA,"D","R",NA,NA,1983-10-11,10,NA,NA,NA,"D",1,57004,"R",1,37743,0.601644379,NA,668,"AL",183884,7000,"City of Birmingham",1,1,0,0,4,0,1,"richard arrington","john katapodis"
107000,1987,12037003,"BIRMINGHAM CITY","AL",NA,NA,NA,"D","",51909,28825,"Richard Arrington","Robert C. Mckee","NP","R",51850,28642,"Richard Arrington, Jr.(I)","Bob McKee",277395.5,"<a href=""http://www.bhamwiki.com/w/1987_Birmingham_mayoral_election"" target=""_blank"" >[Link]</a>","D",NA,"D","R",NA,NA,1987-10-13,11,NA,NA,NA,"D",1,51909,"R",1,28825,0.642963312,NA,669,"AL",183884,7000,"City of Birmingham",1,1,0,0,4,0,1,"richard arrington","robert mckee"
107000,1991,12037003,"BIRMINGHAM CITY","AL",NA,NA,NA,"D","D",47423,23870,"Richard Arrington","Emory Anthony","NP","D",47419,23867,"Richard Arrington, Jr.(I)","Emory Anthony, Jr.",265722,"<a href=""http://www.bhamwiki.com/w/1991_Birmingham_mayoral_election"" target=""_blank"" >[Link]</a>","D",NA,NA,NA,NA,NA,1991-10-08,10,NA,NA,NA,"D",1,47423,"D",1,23870,NA,NA,670,"AL",183884,7000,"City of Birmingham",1,1,0,0,4,0,1,"richard arrington","emory anthony"
107000,1995,12037003,"BIRMINGHAM CITY","AL",NA,NA,NA,"D","D",28602,16399,"Richard Arrington","Emory Anthony","NP","D",28595,16390,"Richard Arrington, Jr.(I)","Emory Anthony, Jr.",261763.5,"<a href=""http://www.bhamwiki.com/w/1995_Birmingham_mayoral_election"" target=""_blank"" >[Link]</a>","D",NA,NA,NA,NA,NA,1995-10-10,10,NA,NA,NA,"D",1,28602,"D",1,16399,NA,NA,671,"AL",183884,7000,"City of Birmingham",1,1,0,0,4,0,1,"richard arrington","emory anthony"
107000,1999,12037003,"BIRMINGHAM CITY","AL",NA,NA,NA,"D","D",32169,31033,"Bernard Kincaid","William A. Bell","D","D",32169,31033,"Bernard Kincaid","William Bell(I)",247908.5,"Mobile Register, 11/3/1999","D","D",NA,NA,NA,NA,1999-11-02,11,NA,NA,NA,"D",1,32169,"D",1,31033,NA,NA,672,"AL",183884,7000,"City of Birmingham",1,1,0,1,4,0,1,"bernard kincaid","william bell"
107000,2003,12037003,"BIRMINGHAM CITY","AL",NA,NA,NA,"D","D",25459,21383,"Bernard Kincaid","Carole Smitherman","D","D",25459,21383,"Bernard Kincaid(I)","Carole C. Smitherman",236771.6667,"<a href=""http://voternewsnetwork.com/VNN/newsletters/printablenovember03.html"" target=""_blank"" >[Link]</a>","D",NA,NA,NA,NA,NA,2003-11-04,11,NA,NA,NA,"D",1,25459,"D",1,21383,NA,NA,673,"AL",183884,7000,"City of Birmingham",1,1,0,1,4,0,1,"bernard kincaid","carole smitherman"
107000,2007,12037003,"BIRMINGHAM CITY","AL",NA,NA,NA,"D","D",26227,15392,"Larry Langford","Patrick Cooper","D","NP",26227,15392,"Larry Langford","Patrick C. Cooper",229800,"<a href=""http://www.myfoxal.com/myfox/pages/Home/Detail?contentId=4589959&amp;version=28&amp;locale=EN-US&amp;layoutCode=TSTY&amp;pageId=1.1.1"" target=""_blank"" >[Link]</a>",NA,NA,NA,NA,NA,NA,2007-10-09,NA,NA,NA,NA,"D",1,26227,"D",-1,15392,NA,NA,674,"AL",183884,7000,"City of Birmingham",1,1,0,1,4,0,1,"larry langford","patrick cooper"
107000,2010,12037003,"BIRMINGHAM CITY","AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","NP",25354,21979,"William Bell","Patrick C. Cooper",212237,"","D",NA,NA,NA,NA,NA,2010-01-19,NA,NA,NA,NA,"D",1,25354,"0",NA,21979,NA,NA,675,"AL",183884,7000,"City of Birmingham",1,1,0,1,4,0,1,"william bell","patrick cooper"
107000,2011,12037003,"BIRMINGHAM CITY","AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","NP",15942,655,"William Bell(I)","Patricia Bell",212237,"<a href=""http://blog.al.com/spotnews/2011/08/birmingham_mayor_william_bell_29.html"" target=""_blank"" >[Link]</a>","D",NA,NA,NA,NA,NA,2011-08-23,NA,NA,NA,NA,"D",1,15942,"0",NA,655,NA,NA,676,"AL",183884,7000,"City of Birmingham",1,1,0,1,4,0,1,"william bell","patricia bell"
107000,2013,12037003,"BIRMINGHAM CITY","AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","NP",20136,2656,"William Bell(I)","Adlai M. Trone",NA,"<a href=""http://ftpcontent4.worldnow.com/wbrc/docs/UnofficialResults2013Election.pdf"" target=""_blank"" >[Link]</a>",NA,NA,NA,NA,NA,NA,2013-08-27,NA,NA,NA,NA,"D",-1,20136,"0",NA,2656,NA,NA,677,"AL",183884,7000,"City of Birmingham",1,1,0,1,4,0,1,"william bell","adlai trone"
120104,2004,12052002,"DECATUR CITY","AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP","NP",7981,3665,"Don Kyle","Lynn Fowler(I)",54586.33333,"<a href=""http://www.al.com/election/coverage/local.ssf?municipal_runoffs/decatur.html"" target=""_blank"" >[Link]</a>",NA,NA,NA,NA,NA,NA,2004-09-14,NA,NA,NA,NA,"0",NA,7981,"0",NA,3665,NA,NA,1600,"AL",183976,20104,"City of Decatur",1,NA,0,0,4,0,1,"don kyle","lynn fowler"
120104,2008,12052002,"DECATUR CITY","AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP","NP",5225,4908,"Don Stanford","Don Kyle(I)",55721.66667,"<a href=""http://www.al.com/news/huntsvilletimes/index.ssf?/base/news/1219828515310940.xml&amp;coll=1"" target=""_blank"" >[Link]</a>",NA,NA,NA,NA,NA,NA,2008-08-26,NA,NA,NA,NA,"0",NA,5225,"0",NA,4908,NA,NA,1601,"AL",183976,20104,"City of Decatur",1,NA,0,0,4,0,1,"don stanford","don kyle"
121184,1965,NA,NA,NA,NA,NA,NA,"","",3423,2018,"Earle C. Moody","J.B. Mc Collough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,"0",NA,3423,"0",NA,2018,NA,NA,7503,"AL",184147,21184,"City of Dothan",2,1,0,1,4,0,1,"earle moody","jb mccollough"
121184,1969,NA,NA,NA,NA,NA,NA,"","R",3665,2687,"L. Roy Driggers","James W. Grant Iii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,"0",NA,3665,"R",-1,2687,NA,NA,7722,"AL",184147,21184,"City of Dothan",2,1,0,1,4,0,1,"l roy driggers","james grant"
