Entity,Code,Year,Share of total deaths from homicide in both sexes in all ages
United States,USA,1950,0.5467987
United States,USA,1951,0.5057017
United States,USA,1952,0.5380676
United States,USA,1953,0.50344604
United States,USA,1954,0.5222502
United States,USA,1955,0.4852435
United States,USA,1956,0.4876393
United States,USA,1957,0.46787515
United States,USA,1958,0.47424397
United States,USA,1959,0.49245116
United States,USA,1960,0.49439773
United States,USA,1961,0.50413686
United States,USA,1962,0.5130584
United States,USA,1963,0.5086711
United States,USA,1964,0.5458132
United States,USA,1965,0.58595204
United States,USA,1966,0.62292385
United States,USA,1967,0.7251571
United States,USA,1968,0.7609003
United States,USA,1969,0.8052591
United States,USA,1970,0.87702906
United States,USA,1971,0.974661
United States,USA,1972,0.9999267
United States,USA,1973,1.0372514
United States,USA,1974,1.1096532
United States,USA,1975,1.1257983
United States,USA,1976,1.0240699
United States,USA,1977,1.0511703
United States,USA,1978,1.0598676
United States,USA,1979,1.1600754
United States,USA,1980,1.2044681
United States,USA,1981,1.1810528
United States,USA,1982,1.1177351
United States,USA,1983,0.9866279
United States,USA,1984,0.95666844
United States,USA,1985,0.9407412
United States,USA,1986,1.0193976
United States,USA,1987,0.9801618
United States,USA,1988,1.0047975
United States,USA,1989,1.049912
United States,USA,1990,1.1456562
United States,USA,1991,1.2101306
United States,USA,1992,1.1557202
United States,USA,1993,1.130809
United States,USA,1994,1.077098
United States,USA,1995,0.97537684
United States,USA,1996,0.8914369
United States,USA,1997,0.8422185
United States,USA,1998,0.76555586
United States,USA,1999,0.70623934
United States,USA,2000,0.6975677
United States,USA,2001,0.84041506
United States,USA,2002,0.72186685
United States,USA,2003,0.7242612
United States,USA,2004,0.72392774
United States,USA,2005,0.74035436
United States,USA,2006,0.7655281
United States,USA,2007,0.7577886
United States,USA,2008,0.7211212
United States,USA,2009,0.69390434
United States,USA,2010,0.6633491
United States,USA,2011,0.64552855
United States,USA,2012,0.65616083
United States,USA,2013,0.6206409
United States,USA,2014,0.60192245
United States,USA,2015,0.65574735
United States,USA,2016,0.70554847
United States,USA,2017,0.6933705
United States,USA,2018,0.66321385
United States,USA,2019,0.67047584
United States,USA,2020,0.7262993
United States,USA,2021,0.75142217
